CTEC	true	0.01460792095668232
BIFF	true	0.007395641990621593
LUCE	true	0.008251336105238967
MOTR	true	0.013100269421404088
FORT	true	0.05266593538775982
CSP	false	0.00005432978505507139
ASCL	true	0.00829208344403027
GYM 	true	0.0008149467758260708
MCS 	false	0
HSW 	false	0
EQN 	false	0
IBST	true	0.004359965250669479
WPG 	false	0
HSTG	true	0.0006723310900565084
OTB 	true	0.0009779361309912849
SOPH	true	0.022594399359777813
AUTO	true	0.019477227942243092
DFS 	false	0
HSS 	false	0
CHOO	true	0.027952674410834228
SPI 	true	0.019640217297408304
SSPG	false	0.0009575624615956333
IEH 	false	0.00032597871033042836
AA. 	true	0.0028810018203663354
FAN 	true	0.005704627430782496
ZPLA	false	0.026139417834621224
FDM 	false	0
GMD 	false	0
CLG 	false	0
SAGA	true	0.007477136668204199
CARD	true	0.055742359466503244
CMBN	false	0.0002037366939565177
EXO	true	0.00467236151473614
PLP	false	0
JE	true	0.019491222192108047
BRIT	true	0.03622438418546885
GMS	false	0.00019015424769274988
CIR	true	0.005052670010121638
PETS	true	0.022166552302469125
PLND	false	0
AO	true	0.0036634961419473155
MCLS	false	0
SERV	true	0.033086839098538476
INFI	true	0.016482298541082283
MERL	true	0.034737106319586264
STCK	false	0.0007538257676391155
RMG	false	0.00005432978505507139
PA	true	0.18260572031803415
HTY	true	0.0004074733879130354
ESUR	true	0.017337992655699658
CRST	false	0.007171531627269423
DLG	false	0
EAS	true	0.019966196007738735
RPO	true	0.005758957215837568
OPHR	true	0.022798136053734333
ETLN	false	0.0012224201637391061
PER	true	0.08953548577075765
OCDO	false	0.0004278470573086871
ESSR	true	0.1538823249453578
EXI	true	0.006736893346828852
CAD	true	0.005568802968144816
FRES	true	0.075239961078142
ENRC	false	0.001854003915004311
CRND	false	0.0001426156857695624
TCY	false	0.00019015424769274988
SEPU	true	0.006804805578147692
MONY	true	0.028706500178473343
SPGH	false	0
FXPO	false	0.0017928829068173558
PVCS	false	0
EAGA	true	0.006295463843256396
HFG	false	0
CINE	true	0.1024795570601284
WSM	false	0.00021731914022028555
XCH	false	0.0002716489252753569
SPD	false	0
HSD	false	0
SMDR	false	0.00008149467758260708
LSL	false	0.00010865957011014277
HOC	true	0.00214602650967532
STY	true	0.0054329785055071385
DNLM	false	0
EXPN	false	0.010410945061178054
SCHE	true	0.04901904856593815
SL	true	0.06498259661492957
CNP	false	0
DEB	true	0.004699526407263675
RMV	false	0
SWG	false	0
OPTS	true	0.00576574843896945
QQ	false	0
BVIC	true	0.005317527712265112
STHR	true	0.014750536642451881
GND	false	0
HIK	true	0.0010594308085738922
KAZ	false	0.0002988138178028926
PFC	false	0
LAN	true	0.03702574851503115
ISAT	true	0.01831592878669094
PSK	false	0.00021731914022028555
MCRO	false	0.020679274436586546
FOSE	true	0.02338897246620823
ARA	true	0.027219222312590764
CART	true	0.0500581057051164
ARG	true	0.01127343039892731
RAY	true	0.0054873082905622095
PHNX	false	0.00008149467758260708
JSP	false	0
ADM	true	0.0043735476969332466
PAY	true	0.0021731914022028553
VMOB	false	0.002016993270169525
E2V	true	0.06039433445656836
PFD	false	0
OFF	true	0.008774260286394029
HFD	false	0
UMB	true	0.012848994165524381
PWS	false	0
DTY	false	0
EIR	true	0.0017928829068173558
AKT	false	0.00021731914022028555
CSR	false	0
BUR	true	0.011463584646620062
VED	true	0.007225861412324494
WLF	false	0.00005432978505507139
YELL	true	0.035898405475138416
SDX	false	0
BRBY	false	0.00016298935516521415
MCHL	false	0.00495080166314338
WMH	false	0
WG.	true	0.0007113584741645272
ITRK	false	0.006458453198421611
PUB	true	0.002526335005060819
HMV	false	0
CORIN	true	0.08573240081690266
DCA	true	0.0013582446263767846
XTA	true	0.0005704627430782495
VPC	false	0
IDHC	false	0.00016298935516521415
VAN	true	0.00763333480023753
MAS	true	0.017657180142898198
